Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,4,14,10,205,18.9,1.5,223.034,26.994,592.5,562.562
1,4,15,28,85,17.8,3.1,104.922,19.599,286.578,263.61
1,4,16,2,13,15.6,2.1,13.035,14.228,36.464,18.436
1,4,17,0,0,14.4,1.5,0,14.4,0,0
1,4,18,0,0,13.9,1.5,0,13.9,0,0
1,4,19,0,0,13.9,2.1,0,13.9,0,0
1,4,20,0,0,13.9,1.5,0,13.9,0,0
1,4,21,0,0,13.9,2.6,0,13.9,0,0
1,4,22,0,0,13.9,3.6,0,13.9,0,0
1,4,23,0,0,13.3,2.6,0,13.3,0,0
1,5,0,0,0,12.8,1.5,0,12.8,0,0
1,5,1,0,0,12.8,4.6,0,12.8,0,0
1,5,2,0,0,13.3,1.5,0,13.3,0,0
1,5,3,0,0,12.8,2.1,0,12.8,0,0
1,5,4,0,0,12.8,2.1,0,12.8,0,0
1,5,5,0,0,13.9,2.1,0,13.9,0,0
1,5,6,0,0,13.9,2.1,0,13.9,0,0
1,5,7,5,29,14.4,3.6,28.643,13.239,80.204,61.361
1,5,8,2,89,12.8,5.2,87.461,13.22,247.427,225.277
1,5,9,1,200,12.8,5.2,201.371,15.89,563.397,534.166
1,5,10,8,220,13.3,4.1,225.565,17.794,625.521,594.769
1,5,11,7,224,13.9,4.1,229.369,18.571,633.939,602.977
1,5,12,4,268,15,4.1,276.88,20.893,757.218,723.102
1,5,13,2,238,13.9,5.7,246.265,18.173,681.945,649.776
1,5,14,1,102,13.9,5.2,100.26,15.119,281.476,258.617
1,5,15,1,98,13.9,5.7,102.065,14.773,286.95,263.974
1,5,16,0,17,13.3,5.2,16.207,12.308,46.081,27.876
1,5,17,0,0,13.3,4.6,0,13.3,0,0
1,5,18,0,0,13.9,3.6,0,13.9,0,0
1,5,19,0,0,13.9,4.1,0,13.9,0,0
1,5,20,0,0,13.3,4.1,0,13.3,0,0
1,5,21,0,0,12.2,3.6,0,12.2,0,0
1,5,22,0,0,12.8,3.6,0,12.8,0,0
1,5,23,0,0,12.8,3.6,0,12.8,0,0
1,6,0,0,0,12.8,1.5,0,12.8,0,0
1,6,1,0,0,12.8,2.1,0,12.8,0,0
1,6,2,0,0,12.8,2.6,0,12.8,0,0
1,6,3,0,0,12.8,2.6,0,12.8,0,0
1,6,4,0,0,12.2,1.5,0,12.2,0,0
1,6,5,0,0,11.1,2.1,0,11.1,0,0
1,6,6,0,2,11.7,2.1,1.949,9.43,5.612,0
1,6,7,38,47,12.2,1.5,54.688,11.436,149.207,129.037
1,6,8,394,72,13.9,2.6,232.335,18.798,594.879,564.882
1,6,9,605,112,13.9,4.1,470.849,24.647,"1,231.7","1,183.896"
1,6,10,770,135,15,3.1,696.191,33.57,"1,773.738","1,707.288"
1,6,11,598,175,16.1,3.6,669.153,33.782,"1,713.347","1,649.134"
1,6,12,878,78,16.1,4.6,792.19,34.808,"2,017.893","1,941.996"
1,6,13,847,72,15.6,4.1,727.898,34.201,"1,855.258","1,785.726"
1,6,14,772,61,15.6,3.6,588.675,31.367,"1,507.585","1,450.693"
1,6,15,635,45,15,4.1,385.727,24.683,990.983,950.431
1,6,16,246,23,13.9,4.6,124.159,16.182,312.529,289.009
1,6,17,0,0,13.3,3.6,0,13.3,0,0
1,6,18,0,0,12.2,2.1,0,12.2,0,0
1,6,19,0,0,12.2,1.5,0,12.2,0,0
1,6,20,0,0,11.7,2.1,0,11.7,0,0
1,6,21,0,0,10,2.1,0,10,0,0
1,6,22,0,0,10,0,0,10,0,0
1,6,23,0,0,10,2.1,0,10,0,0
1,7,0,0,0,10,1.5,0,10,0,0
1,7,1,0,0,9.4,1.5,0,9.4,0,0
1,7,2,0,0,8.9,2.1,0,8.9,0,0
1,7,3,0,0,8.3,1.5,0,8.3,0,0
1,7,4,0,0,7.8,1.5,0,7.8,0,0
1,7,5,0,0,8.3,1.5,0,8.3,0,0
1,7,6,2,2,8.3,2.1,2.056,6.513,5.769,0
1,7,7,43,48,9.4,1.5,56.604,8.634,155.678,135.381
1,7,8,11,150,10.6,2.1,155.804,13.395,439.518,413.194
1,7,9,37,162,12.2,0,185.926,19.838,508.868,480.937
1,7,10,337,212,13.3,3.1,468.548,24.867,"1,249.329","1,200.97"
1,7,11,329,244,14.4,4.6,528.898,26.459,"1,404.875","1,351.463"
1,7,12,642,149,16.1,2.1,695.904,37.151,"1,753.67","1,687.968"
1,7,13,373,180,14.4,4.6,499.864,26.363,"1,326.613","1,275.776"
1,7,14,280,177,13.9,5.7,392.667,21.7,"1,060.692","1,018.106"
1,7,15,193,103,13.9,5.2,224.494,18.212,607.463,577.157
1,7,16,3,23,13.3,4.6,22.934,12.732,64.659,46.108
1,7,17,0,0,12.8,3.6,0,12.8,0,0
1,7,18,0,0,12.2,2.1,0,12.2,0,0
1,7,19,0,0,12.2,2.1,0,12.2,0,0
1,7,20,0,0,11.1,1.5,0,11.1,0,0
1,7,21,0,0,11.1,3.1,0,11.1,0,0
1,7,22,0,0,9.4,2.1,0,9.4,0,0
1,7,23,0,0,10,2.1,0,10,0,0
1,8,0,0,0,9.4,0,0,9.4,0,0
1,8,1,0,0,10,2.1,0,10,0,0
1,8,2,0,0,8.9,0,0,8.9,0,0
1,8,3,0,0,8.9,2.6,0,8.9,0,0
1,8,4,0,0,9.4,0,0,9.4,0,0
1,8,5,0,0,10,3.1,0,10,0,0
1,8,6,7,2,8.9,1.5,2.318,6.351,5.976,0
1,8,7,215,33,9.4,3.1,74.571,9.374,175.49,154.8
1,8,8,575,67,11.7,1.5,297.637,19.699,750.449,716.512
1,8,9,61,203,12.2,0,244.692,24.167,655.713,624.207
1,8,10,756,121,14.4,2.1,671.809,33.623,"1,710.974","1,646.847"
1,8,11,601,158,16.1,2.1,657.827,36.654,"1,660.59","1,598.298"
1,8,12,899,69,16.7,2.6,800.638,39.759,"1,989.794","1,915.017"
1,8,13,870,68,15.6,5.7,743.444,31.342,"1,921.821","1,849.719"
1,8,14,816,53,15,5.7,606.296,27.768,"1,579.791","1,520.382"
1,8,15,652,45,14.4,5.2,397.234,23.019,"1,029.616",987.943
1,8,16,147,32,13.3,3.6,101.83,15.423,264.996,242.481
1,8,17,0,0,13.3,2.6,0,13.3,0,0
1,8,18,0,0,13.3,2.6,0,13.3,0,0
1,8,19,0,0,13.3,2.6,0,13.3,0,0
1,8,20,0,0,12.8,2.6,0,12.8,0,0
1,8,21,0,0,11.1,1.5,0,11.1,0,0
1,8,22,0,0,12.2,1.5,0,12.2,0,0
1,8,23,0,0,11.7,3.6,0,11.7,0,0
1,9,0,0,0,11.1,0,0,11.1,0,0
1,9,1,0,0,10.6,0,0,10.6,0,0
1,9,2,0,0,10.6,2.1,0,10.6,0,0
1,9,3,0,0,9.4,0,0,9.4,0,0
1,9,4,0,0,8.3,0,0,8.3,0,0
1,9,5,0,0,8.9,2.6,0,8.9,0,0
1,9,6,16,2,8.9,0,2.777,6.041,6.335,0
1,9,7,441,23,9.4,0,102.198,10.005,213.187,191.74
1,9,8,731,39,12.8,1.5,323.675,21.824,795.659,760.527
1,9,9,835,51,14.4,1.5,527.778,31.224,"1,329.545","1,278.614"
1,9,10,891,60,16.1,3.6,690.861,33.815,"1,755.139","1,689.382"
1,9,11,922,64,15.6,5.7,793.037,32.156,"2,044.18","1,967.227"
1,9,12,916,63,16.1,5.7,808.346,33.178,"2,075.766","1,997.534"
1,9,13,897,59,17.2,5.7,754.592,33.202,"1,933.065","1,860.524"
1,9,14,834,49,17.2,5.2,614.901,30.955,"1,578.057","1,518.709"
1,9,15,691,39,15.6,5.7,407.477,23.962,"1,050.475","1,008.19"
1,9,16,332,21,13.9,4.1,147.766,17.06,365.37,340.705
1,9,17,0,0,13.9,3.1,0,13.9,0,0
1,9,18,0,0,13.3,3.1,0,13.3,0,0
1,9,19,0,0,12.8,4.1,0,12.8,0,0
1,9,20,0,0,12.8,3.1,0,12.8,0,0
1,9,21,0,0,12.2,2.1,0,12.2,0,0
1,9,22,0,0,11.1,1.5,0,11.1,0,0
1,9,23,0,0,11.1,0,0,11.1,0,0
1,10,0,0,0,8.3,0,0,8.3,0,0
1,10,1,0,0,9.4,0,0,9.4,0,0
1,10,2,0,0,8.3,0,0,8.3,0,0
1,10,3,0,0,11.1,2.1,0,11.1,0,0
1,10,4,0,0,10.6,4.1,0,10.6,0,0
1,10,5,0,0,12.2,2.6,0,12.2,0,0
1,10,6,1,2,11.1,2.1,2,9.485,5.649,0
1,10,7,97,36,10.6,0,55.422,8.617,142.381,122.344
1,10,8,469,82,13.9,1.5,270.637,20.889,684.877,652.633
1,10,9,682,98,17.2,2.1,498.71,31.417,"1,260.961","1,212.233"
1,10,10,767,110,21.1,2.1,667.986,41.079,"1,638.894","1,577.383"
1,10,11,800,118,24.4,3.6,765.883,44.212,"1,859.646","1,789.947"
1,10,12,793,119,21.7,3.6,785.391,42.333,"1,927.692","1,855.361"
1,10,13,553,160,21.1,4.6,615.795,36.039,"1,558.442","1,499.782"
1,10,14,173,151,20,4.6,282.803,26.723,747.314,713.459
1,10,15,138,91,21.1,5.2,174.514,24.171,460.565,433.759
1,10,16,65,37,18.9,3.1,70.223,19.583,184.357,163.491
1,10,17,0,0,18.3,2.1,0,18.3,0,0
1,10,18,0,0,16.7,2.6,0,16.7,0,0
1,10,19,0,0,16.1,3.6,0,16.1,0,0
1,10,20,0,0,15,1.5,0,15,0,0
1,10,21,0,0,14.4,1.5,0,14.4,0,0
1,10,22,0,0,14.4,2.1,0,14.4,0,0
1,10,23,0,0,13.3,0,0,13.3,0,0
1,11,0,0,0,12.8,1.5,0,12.8,0,0
1,11,1,0,0,13.3,0,0,13.3,0,0
1,11,2,0,0,12.2,1.5,0,12.2,0,0
1,11,3,0,0,12.8,2.1,0,12.8,0,0
1,11,4,0,0,12.2,2.1,0,12.2,0,0
1,11,5,0,0,12.2,0,0,12.2,0,0
1,11,6,0,1,12.8,2.1,0.974,10.803,2.789,0
1,11,7,27,32,13.3,0,36.051,10.39,98.465,79.276
1,11,8,10,121,12.8,1.5,123.725,14.665,346.89,322.629
1,11,9,151,170,15.6,1.5,263.822,22.765,706.841,674.035
1,11,10,186,222,16.1,4.1,366.889,24.366,982.66,942.348
1,11,11,729,165,16.1,3.1,766.708,36.137,"1,940.337","1,867.511"
1,11,12,791,107,17.2,4.1,768.026,36.654,"1,939.819","1,867.013"
1,11,13,720,114,17.8,2.6,696.536,38.414,"1,740.826","1,675.6"
1,11,14,64,214,15.6,5.2,279.401,21.835,758.841,724.684
1,11,15,33,133,15.6,5.7,168.753,18.269,464.811,437.906
1,11,16,20,32,14.4,4.1,42.353,14.172,116.638,97.102
1,11,17,0,0,13.9,2.6,0,13.9,0,0
1,11,18,0,0,13.3,2.6,0,13.3,0,0
1,11,19,0,0,13.3,2.6,0,13.3,0,0
1,11,20,0,0,13.3,3.1,0,13.3,0,0
1,11,21,0,0,13.3,1.5,0,13.3,0,0
1,11,22,0,0,12.2,1.5,0,12.2,0,0
1,11,23,0,0,11.1,2.6,0,11.1,0,0
1,12,0,0,0,11.7,2.6,0,11.7,0,0
1,12,1,0,0,12.2,3.6,0,12.2,0,0
1,12,2,0,0,12.2,2.6,0,12.2,0,0
1,12,3,0,0,12.8,2.1,0,12.8,0,0
1,12,4,0,0,11.7,2.1,0,11.7,0,0
1,12,5,0,0,11.1,2.1,0,11.1,0,0
1,12,6,8,1,11.1,2.6,1.367,9.074,3.096,0
1,12,7,368,28,11.1,4.1,94.821,11.641,203.87,182.612
1,12,8,689,48,13.3,2.1,318.683,21.35,788.574,753.63
1,12,9,817,63,15.6,1.5,534.513,32.58,"1,339.381","1,288.129"
1,12,10,875,73,17.2,3.1,696.574,35.939,"1,752.114","1,686.469"
1,12,11,898,78,16.1,4.6,793.918,34.916,"2,019.669","1,943.701"
1,12,12,898,78,15.6,4.6,816.087,35.172,"2,075.955","1,997.715"
1,12,13,869,72,15.6,4.1,754.185,34.899,"1,917.057","1,845.141"
1,12,14,804,61,15,3.6,619.991,31.649,"1,587.952","1,528.255"
1,12,15,662,46,15,3.1,409.746,26.498,"1,047.537","1,005.338"
1,12,16,307,25,13.9,2.6,147.713,17.813,367.755,343.037
1,12,17,0,0,13.3,2.1,0,13.3,0,0
1,12,18,0,0,12.8,2.1,0,12.8,0,0
1,12,19,0,0,12.2,2.6,0,12.2,0,0
1,12,20,0,0,12.2,2.6,0,12.2,0,0
1,12,21,0,0,11.1,2.1,0,11.1,0,0
1,12,22,0,0,10.6,2.1,0,10.6,0,0
1,12,23,0,0,10,2.6,0,10,0,0
1,13,0,0,0,10,1.5,0,10,0,0
1,13,1,0,0,9.4,2.6,0,9.4,0,0
1,13,2,0,0,10,2.1,0,10,0,0
1,13,3,0,0,8.3,2.1,0,8.3,0,0
1,13,4,0,0,7.8,0,0,7.8,0,0
1,13,5,0,0,7.2,0,0,7.2,0,0
1,13,6,6,2,8.3,0,2.238,6.427,5.895,0
1,13,7,192,43,9.4,2.6,80.377,9.527,196.323,175.217
1,13,8,411,111,11.7,2.6,278.864,18.043,723.539,690.302
1,13,9,483,159,16.1,3.6,449.888,26.927,"1,169.699","1,123.825"
1,13,10,757,105,19.4,3.1,657.012,36.783,"1,647.422","1,585.605"
1,13,11,712,164,19.4,3.6,754.207,39.005,"1,881.822","1,811.271"
1,13,12,776,107,17.2,5.7,758.64,33.179,"1,949.54","1,876.353"
1,13,13,757,103,17.8,5.7,714.866,32.884,"1,836.314","1,767.505"
1,13,14,676,70,18.9,4.6,547.024,32.046,"1,399.642","1,346.405"
1,13,15,697,44,18.9,4.6,427.108,28.819,"1,079.989","1,036.83"
1,13,16,341,24,17.2,3.6,157.957,20.939,386.077,360.955
1,13,17,0,0,15,3.1,0,15,0,0
1,13,18,0,0,14.4,3.1,0,14.4,0,0
1,13,19,0,0,13.9,2.6,0,13.9,0,0
1,13,20,0,0,13.9,2.6,0,13.9,0,0
1,13,21,0,0,11.7,2.1,0,11.7,0,0
1,13,22,0,0,11.1,0,0,11.1,0,0
1,13,23,0,0,9.4,0,0,9.4,0,0
1,14,0,0,0,8.9,0,0,8.9,0,0
1,14,1,0,0,8.9,0,0,8.9,0,0
1,14,2,0,0,7.2,0,0,7.2,0,0
1,14,3,0,0,7.2,2.1,0,7.2,0,0
1,14,4,0,0,7.8,0,0,7.8,0,0
1,14,5,0,0,7.2,0,0,7.2,0,0
1,14,6,37,1,7.8,2.1,2.722,6.203,4.093,0
1,14,7,546,19,11.7,0,113.153,13.083,222.572,200.934
1,14,8,815,31,15.6,0,345.557,29.643,814.613,778.973
1,14,9,913,42,17.8,0,562.248,42.411,"1,338.859","1,287.624"
1,14,10,968,49,21.1,1.5,735.172,45.243,"1,763.223","1,697.166"
1,14,11,987,52,23.9,3.1,835.355,46.652,"2,001.929","1,926.67"
1,14,12,973,57,21.7,4.6,854.695,42.269,"2,098.018","2,018.878"
1,14,13,941,59,21.7,4.6,797.419,41.003,"1,966.13","1,892.29"
1,14,14,875,55,20.6,5.2,659.34,35.449,"1,657.79","1,595.599"
1,14,15,744,43,20,4.6,448.484,30.718,"1,123.503","1,079.037"
1,14,16,396,20,19.4,4.1,169.176,23.297,405.046,379.501
1,14,17,0,0,18.3,3.1,0,18.3,0,0
1,14,18,0,0,16.7,3.6,0,16.7,0,0
1,14,19,0,0,17.2,0,0,17.2,0,0
1,14,20,0,0,13.3,0,0,13.3,0,0
1,14,21,0,0,13.3,0,0,13.3,0,0
1,14,22,0,0,12.2,2.1,0,12.2,0,0
1,14,23,0,0,12.2,0,0,12.2,0,0
1,15,0,0,0,11.7,0,0,11.7,0,0
1,15,1,0,0,11.7,0,0,11.7,0,0
1,15,2,0,0,11.7,0,0,11.7,0,0
1,15,3,0,0,11.1,0,0,11.1,0,0
1,15,4,0,0,11.7,0,0,11.7,0,0
1,15,5,0,0,10,2.1,0,10,0,0
1,15,6,0,3,11.1,2.1,2.923,9.627,8.411,0
1,15,7,70,46,12.2,2.6,59.618,11.762,157.277,136.949
1,15,8,108,133,16.1,2.1,180.377,19.753,483.109,455.781
1,15,9,262,189,16.1,1.5,352.63,26.509,925.134,886.456
1,15,10,506,174,18.3,3.6,554.605,32.013,"1,427.024","1,372.871"
1,15,11,58,249,17.2,4.1,305.232,24.782,819.101,783.34
1,15,12,9,234,16.7,4.6,242.121,21.609,659.922,628.31
1,15,13,14,170,16.1,1.5,179.272,21.122,489.588,462.109
1,15,14,7,150,15.6,2.6,155.187,18.789,428.345,402.274
1,15,15,2,97,15.6,3.1,99.193,16.95,276.089,253.342
1,15,16,3,18,15,3.6,18.168,13.91,50.875,32.581
1,15,17,0,0,13.9,3.6,0,13.9,0,0
1,15,18,0,0,13.9,3.1,0,13.9,0,0
1,15,19,0,0,13.9,4.1,0,13.9,0,0
1,15,20,0,0,13.3,3.1,0,13.3,0,0
1,15,21,0,0,13.9,3.1,0,13.9,0,0
1,15,22,0,0,13.3,2.6,0,13.3,0,0
1,15,23,0,0,13.3,2.6,0,13.3,0,0
1,16,0,0,0,12.8,4.6,0,12.8,0,0
1,16,1,0,0,12.8,3.6,0,12.8,0,0
1,16,2,0,0,12.2,2.1,0,12.2,0,0
1,16,3,0,0,12.2,0,0,12.2,0,0
1,16,4,0,0,11.7,1.5,0,11.7,0,0
1,16,5,0,0,11.1,1.5,0,11.1,0,0
1,16,6,2,1,10.6,0,1.065,5.866,2.913,0
1,16,7,207,45,12.8,2.1,84.43,13.098,202.055,180.833
1,16,8,389,87,13.3,3.1,245.155,18.403,631.786,600.878
1,16,9,705,93,14.4,3.1,507.525,27.213,"1,309.322","1,259.045"
1,16,10,535,169,15,3.6,569.914,29.621,"1,483.204","1,427.148"
1,16,11,74,319,15.6,3.6,398.069,26.022,"1,062.05","1,019.424"
1,16,12,145,227,15,5.7,364.346,22.014,989.882,949.362
1,16,13,234,260,15,4.1,470.664,26.127,"1,252.96","1,204.486"
1,16,14,19,207,14.4,3.1,227.904,20.449,624.039,593.324
1,16,15,9,102,13.9,2.6,108.468,15.903,302.882,279.568
1,16,16,30,36,13.9,2.6,50.31,13.678,138.065,118.113
1,16,17,0,0,13.3,0,0,13.3,0,0
1,16,18,0,0,13.3,1.5,0,13.3,0,0
1,16,19,0,0,13.3,2.1,0,13.3,0,0
1,16,20,0,0,12.8,3.1,0,12.8,0,0
1,16,21,0,0,11.7,4.1,0,11.7,0,0
1,16,22,0,0,11.7,4.6,0,11.7,0,0
1,16,23,0,0,11.7,5.2,0,11.7,0,0
1,17,0,0,0,12.2,3.6,0,12.2,0,0
1,17,1,0,0,11.7,4.6,0,11.7,0,0
1,17,2,0,0,12.2,5.7,0,12.2,0,0
1,17,3,0,0,12.2,4.1,0,12.2,0,0
1,17,4,0,0,12.2,5.2,0,12.2,0,0
1,17,5,0,0,12.8,9.3,0,12.8,0,0
1,17,6,0,0,12.8,9.3,0,12.8,0,0
1,17,7,17,14,12.8,11.8,16.853,12.107,44.895,26.712
1,17,8,64,87,13.9,13.4,113.954,14.481,313.114,289.583
1,17,9,5,60,13.9,12.9,60.126,13.882,169.471,148.901
1,17,10,9,111,13.9,10.3,113.214,14.614,318.376,294.731
1,17,11,11,185,13.3,7.2,190.62,15.688,533.714,505.194
1,17,12,2,167,12.2,7.2,165.446,14.231,466.373,439.432
1,17,13,97,176,15,10.3,266.952,18.079,738.222,704.604
1,17,14,92,163,15,12.4,234.864,17.372,650.109,618.744
1,17,15,1,64,12.2,9.3,62.115,12.334,176.52,155.81
1,17,16,2,22,12.2,6.7,21.665,11.359,61.583,43.09
1,17,17,0,0,12.2,9.3,0,12.2,0,0
1,17,18,0,0,12.2,12.4,0,12.2,0,0
1,17,19,0,0,12.8,13.9,0,12.8,0,0
1,17,20,0,0,12.8,17,0,12.8,0,0
1,17,21,0,0,12.8,17,0,12.8,0,0
1,17,22,0,0,11.7,12.4,0,11.7,0,0
1,17,23,0,0,12.8,13.9,0,12.8,0,0
1,18,0,0,0,12.8,11.8,0,12.8,0,0
1,18,1,0,0,12.8,10.3,0,12.8,0,0
1,18,2,0,0,12.2,10.8,0,12.2,0,0
1,18,3,0,0,12.2,10.8,0,12.2,0,0
1,18,4,0,0,12.2,11.3,0,12.2,0,0
1,18,5,0,0,12.2,10.8,0,12.2,0,0
1,18,6,0,2,12.2,9.3,1.949,11.141,5.57,0
1,18,7,71,34,12.2,7.2,46.522,11.761,119.776,100.179
1,18,8,82,137,13.3,10.3,171.106,14.843,471.108,444.058
1,18,9,383,158,13.3,10.3,393.522,18.22,"1,068.016","1,025.212"
1,18,10,713,102,13.9,7.7,626.495,24.255,"1,669.732","1,607.109"
1,18,11,966,55,14.4,10.3,828.531,26.146,"2,199.494","2,116.148"
1,18,12,963,55,13.9,9.3,851.706,27.05,"2,254.261","2,168.598"
1,18,13,680,82,14.4,8.8,635.907,24.586,"1,700.5","1,636.757"
1,18,14,841,46,14.4,5.7,633.394,27.514,"1,656.539","1,594.393"
1,18,15,565,61,14.4,6.2,387.981,21.939,"1,020.136",978.74
1,18,16,446,22,13.3,4.6,191.98,17.191,474.741,447.607
1,18,17,10,2,12.8,3.1,4.314,11.582,10.576,0
1,18,18,0,0,13.3,0,0,13.3,0,0
1,18,19,0,0,12.8,3.6,0,12.8,0,0
1,18,20,0,0,12.8,3.6,0,12.8,0,0
1,18,21,0,0,12.2,0,0,12.2,0,0
1,18,22,0,0,10.6,2.6,0,10.6,0,0
1,18,23,0,0,11.1,2.1,0,11.1,0,0
1,19,0,0,0,11.7,3.1,0,11.7,0,0
1,19,1,0,0,10,3.1,0,10,0,0
1,19,2,0,0,8.9,2.6,0,8.9,0,0
1,19,3,0,0,8.9,3.6,0,8.9,0,0
1,19,4,0,0,8.3,2.1,0,8.3,0,0
1,19,5,0,0,7.2,1.5,0,7.2,0,0
1,19,6,36,2,6.7,2.1,3.491,4.305,6.758,0
1,19,7,530,21,8.9,2.1,112.118,10.02,225.579,203.879
1,19,8,787,34,10.6,2.1,339.342,19.366,841.481,805.114
1,19,9,904,46,12.8,2.1,564.987,29.347,"1,436.977","1,382.49"
